instance_key,method,run_label,A,B,E_best,E_best_improved,chain_strength,engine,gap_F_imp_vs_exact,has_exact_ref,imp_E_qubo,imp_F_markowitz,imp_feasible,imp_penalty,imp_sum_z,improve_engine,n,num_reads,q,qpu_solver,raw_E_qubo,raw_F_markowitz,raw_feasible,raw_penalty,raw_sum_z,reason,runtime_s,solver_info,status,time_limit,used_embedding
"(20, 10, 0.8, 'synthetic_factor', 2030)",tabu,first,4.2749190902692664,10,-427.45140092953147,-427.45140092953147,,tabu,0,True,-427.45140092953147,0.040508097395122102,True,0,10,python.local_descent,20,,0.80000000000000004,,-427.45140092953147,0.040508097395122102,True,0,10,,8.0019278526306152,,ok,,
"(30, 15, 0.2, 'synthetic_factor', 2031)",dwave_hybrid,first,0.9793890965108748,15,-220.44400719329403,-220.44400719329388,,dwave.Hybrid,,False,-220.44400719329388,-0.081460478347117504,True,0,15,python.local_descent,30,,0.20000000000000001,,-220.44400719329388,-0.081460478347117504,True,0,15,,13.749391794204712,"{'qpu_access_time': 532279, 'charge_time': 9997662, 'run_time': 9997662, 'problem_id': 'd6336551-4ace-4230-b483-4fc866b2916a', 'problem_data_id': '44f1c2f3-e876-43e6-a505-eb0eeb0b7ae1'}",ok,10,
"(30, 15, 0.2, 'synthetic_factor', 2031)",dwave_qpu,first,0.9793890965108748,15,-220.08380609347839,-220.08380609347844,3.0817731605549961,dwave.QPU,,False,-220.08380609347844,0.27874062146837059,True,0,15,python.local_descent,30,3000,0.20000000000000001,Advantage_system4.1,-220.08380609347844,0.27874062146837059,True,0,15,,2.3053250312805176,"{'embedding_stats': {'mean_chain': 4.1, 'max_chain': 5, 'n_logical': 30}, 'timing': {'qpu_sampling_time': 378120.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 85.46, 'qpu_access_time': 393880.76, 'qpu_access_overhead_time': 2342.24, 'qpu_programming_time': 15760.76, 'qpu_delay_time_per_sample': 20.58, 'post_processing_overhead_time': 1.0, 'total_post_processing_time': 1.0}, 'chain_break_fraction': 0.5}",ok,,FixedEmbeddingComposite(minorminer cached)
"(30, 15, 0.2, 'synthetic_factor', 2031)",exact,first,0.9793890965108748,15,,,,,,False,,,,,,,30,,0.20000000000000001,,,,,,,n=30 > max_n=20,,,skipped,,
"(30, 15, 0.2, 'synthetic_factor', 2031)",sa,second,0.9793890965108748,15,-220.44144332948883,-220.44144332948849,,neal.SA,,False,-220.44144332948849,-0.078896614541522997,True,0,15,python.local_descent,30,,0.20000000000000001,,-220.44144332948849,-0.078896614541522997,True,0,15,,121.13400983810423,,ok,,
"(30, 15, 0.2, 'synthetic_factor', 2031)",tabu,first,0.9793890965108748,15,-220.49051023082183,-220.49051023082168,,tabu,,False,-220.49051023082168,-0.12796351587501681,True,0,15,python.local_descent,30,,0.20000000000000001,,-220.49051023082168,-0.12796351587501681,True,0,15,,8.0016241073608398,,ok,,
"(30, 15, 0.5, 'synthetic_factor', 2032)",dwave_hybrid,first,3.1373057176798631,15,-705.88029144259178,-705.88029144259178,,dwave.Hybrid,,False,-705.88029144259178,0.013495035376737101,True,0,15,python.local_descent,30,,0.5,,-705.88029144259178,0.013495035376737101,True,0,15,,13.273996114730837,"{'qpu_access_time': 494266, 'charge_time': 9982496, 'run_time': 9982496, 'problem_id': '2813bb5d-5049-423e-99ab-ca2c50ce5377', 'problem_data_id': '924be55a-d93c-403f-b27b-5c0c8d997eb2'}",ok,10,
"(30, 15, 0.5, 'synthetic_factor', 2032)",dwave_qpu,first,3.1373057176798631,15,-705.4303709678934,-705.43037096789396,9.8208863620051083,dwave.QPU,,False,-705.43037096789396,0.4634155100757798,True,0,15,python.local_descent,30,3000,0.5,Advantage_system4.1,-705.43037096789396,0.4634155100757798,True,0,15,,2.65513014793396,"{'embedding_stats': {'mean_chain': 4.1, 'max_chain': 5, 'n_logical': 30}, 'timing': {'qpu_sampling_time': 378120.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 85.46, 'qpu_access_time': 393880.76, 'qpu_access_overhead_time': 2261.24, 'qpu_programming_time': 15760.76, 'qpu_delay_time_per_sample': 20.58, 'post_processing_overhead_time': 1.0, 'total_post_processing_time': 1.0}, 'chain_break_fraction': 0.5}",ok,,FixedEmbeddingComposite(minorminer cached)
"(30, 15, 0.5, 'synthetic_factor', 2032)",exact,first,3.1373057176798631,15,,,,,,False,,,,,,,30,,0.5,,,,,,,n=30 > max_n=20,,,skipped,,
"(30, 15, 0.5, 'synthetic_factor', 2032)",sa,second,3.1373057176798631,15,-705.87410510599659,-705.87410510599523,,neal.SA,,False,-705.87410510599523,0.019681371973061801,True,0,15,python.local_descent,30,,0.5,,-705.87410510599523,0.019681371973061801,True,0,15,,124.92471194267272,,ok,,
