instance_key,method,engine,status,reason,n,B,q,A,runtime_s,E_best,E_best_improved,improve_engine,raw_sum_z,raw_feasible,raw_F_markowitz,raw_penalty,raw_E_qubo,imp_sum_z,imp_feasible,imp_F_markowitz,imp_penalty,imp_E_qubo,gap_F_imp_vs_exact,has_exact_ref
"(20, 10, 0.2, 'synthetic_factor', 2028)",sa,neal.SA,ok,,20,10,0.2,1.0926672158620376,66.2209951877594,-109.28475391169621,-109.28475391169601,python.local_descent,10.0,True,-0.0180323254923083,0.0,-109.28475391169601,10.0,True,-0.0180323254923083,0.0,-109.28475391169601,0.003814311477764065,True
"(20, 10, 0.2, 'synthetic_factor', 2028)",tabu,tabu,ok,,20,10,0.2,1.0926672158620376,60.00155687332153,-109.28856822317384,-109.28856822317375,python.local_descent,10.0,True,-0.021846636970072365,0.0,-109.28856822317375,10.0,True,-0.021846636970072365,0.0,-109.28856822317375,0.0,True
"(20, 10, 0.5, 'synthetic_factor', 2029)",exact,dimod.ExactSolver,ok,,20,10,0.5,1.9881303526407539,1.7574491500854492,-198.83416568924255,-198.83416568924295,python.local_descent,10.0,True,-0.021130425167369904,0.0,-198.83416568924295,10.0,True,-0.021130425167369904,0.0,-198.83416568924295,0.0,True
"(20, 10, 0.5, 'synthetic_factor', 2029)",sa,neal.SA,ok,,20,10,0.5,1.9881303526407539,65.20735287666321,-198.825025911883,-198.8250259118829,python.local_descent,10.0,True,-0.011990647807587199,0.0,-198.8250259118829,10.0,True,-0.011990647807587199,0.0,-198.8250259118829,0.009139777359782705,True
"(20, 10, 0.5, 'synthetic_factor', 2029)",tabu,tabu,ok,,20,10,0.5,1.9881303526407539,60.001086950302124,-198.83416568924255,-198.83416568924295,python.local_descent,10.0,True,-0.021130425167369904,0.0,-198.83416568924295,10.0,True,-0.021130425167369904,0.0,-198.83416568924295,0.0,True
"(20, 10, 0.8, 'synthetic_factor', 2030)",exact,dimod.ExactSolver,ok,,20,10,0.8,4.274919090269266,1.3317780494689941,-427.4514009295315,-427.4514009295315,python.local_descent,10.0,True,0.04050809739512216,0.0,-427.4514009295315,10.0,True,0.04050809739512216,0.0,-427.4514009295315,0.0,True
"(20, 10, 0.8, 'synthetic_factor', 2030)",sa,neal.SA,ok,,20,10,0.8,4.274919090269266,61.660563230514526,-427.44637209590235,-427.4463720959028,python.local_descent,10.0,True,0.04553693102378546,0.0,-427.4463720959028,10.0,True,0.04553693102378546,0.0,-427.4463720959028,0.005028833628663305,True
"(20, 10, 0.8, 'synthetic_factor', 2030)",tabu,tabu,ok,,20,10,0.8,4.274919090269266,60.00143218040466,-427.4514009295315,-427.4514009295315,python.local_descent,10.0,True,0.04050809739512216,0.0,-427.4514009295315,10.0,True,0.04050809739512216,0.0,-427.4514009295315,0.0,True
"(30, 15, 0.2, 'synthetic_factor', 2031)",exact,,skipped,n=30 > max_n=24,30,15,0.2,0.9793890965108748,,,,,,,,,,,,,,,,False
"(30, 15, 0.2, 'synthetic_factor', 2031)",sa,neal.SA,ok,,30,15,0.2,0.9793890965108748,121.13400983810425,-220.44144332948883,-220.44144332948846,python.local_descent,15.0,True,-0.07889661454152305,0.0,-220.44144332948846,15.0,True,-0.07889661454152305,0.0,-220.44144332948846,,False
